dataset,method,stage,filter_rank,library_name,differentiation_name,threshold,field_nrmse,state_rmse,active_terms,interpretability_penalty,shift_corr,reference_shift_corr,long_horizon_max_norm,stable,score,pareto_efficient
kutz_cylinder,dmd_sindy,optimization,8,poly2,finite_difference,0.21544346900318823,0.21214005002790629,3.4964881552572087,5,9.997768378181362,0.08291042334669826,1.0,148.8171834178711,True,1.7868053067551106,False
kutz_cylinder,dmd_sindy,optimization,8,poly2,finite_difference,0.46415888336127775,0.21214005002790629,3.4964881552572087,5,9.997768378181362,0.08291042334669826,1.0,148.8171834178711,True,1.7868053067551106,False
kutz_cylinder,dmd_sindy,optimization,9,poly2,spectral,0.21544346900318823,0.21183018358666236,2.7083642611126586,6,9.991311523590639,0.2913117635510431,1.0,148.6175767754197,True,1.800526912125258,False
kutz_cylinder,dmd_sindy,optimization,6,poly2,spectral,0.1,0.21182492829324678,2.693020906865752,6,9.995026154316925,0.26847679271867464,1.0,148.62387489186983,True,1.8010788514407854,False
kutz_cylinder,dmd_sindy,optimization,6,poly2,spectral,0.21544346900318823,0.21182492829324678,2.693020906865752,6,9.995026154316925,0.26847679271867464,1.0,148.62387489186983,True,1.8010788514407854,False
kutz_cylinder,dmd_sindy,optimization,6,poly2,finite_difference,0.046415888336127774,0.2120239256367271,3.223656571029441,7,10.122413559669617,0.26847679271867464,1.0,148.9658442795726,True,1.8353859595871695,False
kutz_cylinder,dmd_sindy,optimization,6,poly2,finite_difference,0.1,0.2120239256367271,3.223656571029441,7,10.122413559669617,0.26847679271867464,1.0,148.9658442795726,True,1.8353859595871695,False
kutz_cylinder,dmd_sindy,optimization,9,poly2,spectral,0.1,0.21183018775580784,2.708376398993987,7,10.52220566076304,0.2913117635510431,1.0,148.617571776828,True,1.895161036870264,False
kutz_cylinder,dmd_sindy,optimization,8,poly2,finite_difference,0.1,0.21214017106703026,3.4967615030461703,6,10.712951710283482,0.08291042334669826,1.0,148.817194538413,True,1.9090829276095524,False
kutz_cylinder,dmd_sindy,optimization,9,poly2,finite_difference,1.0,0.21206721464562206,3.3279613767143412,4,10.995980367014681,0.2913117635510431,1.0,148.90321677035405,True,1.9214642696978241,False
kutz_cylinder,dmd_sindy,optimization,8,poly2,spectral,1.0,0.21179807574825504,2.613222567250315,4,10.999116579238532,0.08291042334669826,1.0,148.54971981564137,True,1.9216655626340347,False
