dataset,dataset_label,mode,singular_value,energy_fraction,cumulative_energy,baseline_rank_svht,mode3_shift_corr
kutz_cylinder,Kutz Cylinder (vorticity),1,1007.2490720517727,0.41299785876288525,0.41299785876288525,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),2,993.9246917788847,0.4021434576265012,0.8151413163893865,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),3,362.2540203723788,0.05341958086937016,0.8685608972587566,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),4,360.3054047733507,0.05284642361534403,0.9214073208741007,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),5,284.4546436517424,0.03293821832905416,0.9543455392031549,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),6,277.4052746115323,0.03132589422530499,0.9856714334284599,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),7,113.30474451520806,0.005226010040920895,0.9908974434693808,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),8,112.65879024238939,0.005166592567137835,0.9960640360365186,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),9,60.02501229604126,0.0014666907853269678,0.9975307268218456,10,0.7082426951089713
kutz_cylinder,Kutz Cylinder (vorticity),10,59.52899253915263,0.0014425507916506542,0.9989732776134963,10,0.7082426951089713
deepxde_cylinder,"DeepXDE Cylinder (u,v)",1,167.2475513915639,0.4943787863114111,0.4943787863114111,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",2,159.7147451851799,0.450848175557388,0.9452269618687991,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",3,33.18232642795225,0.019460498160621925,0.964687460029421,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",4,32.34340660105862,0.018488931424438023,0.9831763914538589,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",5,20.87488648531517,0.007701734367883525,0.9908781258217425,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",6,20.551617914594182,0.007465043194572957,0.9983431690163155,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",7,6.235321089212561,0.0006871601022951209,0.9990303291186106,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",8,6.13176439891812,0.000664524825200063,0.9996948539438106,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",9,2.7110043453178982,0.0001298974776681956,0.9998247514214789,10,0.6459771837537507
deepxde_cylinder,"DeepXDE Cylinder (u,v)",10,2.682124379402161,0.00012714465805845857,0.9999518960795373,10,0.6459771837537507
